id,dut,categories,test,description,inputs,result,messages
1,s1-p01,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: s1-pe01 (IP: 10.255.1.1),FAIL,"Failures: [{'afi': 'evpn', 'vrfs': {'default': {'10.255.1.1': {'peerState': 'Active', 'inMsgQueue': 0, 'outMsgQueue': 0}}}}]"
2,s1-p01,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: s1-pe02 (IP: 10.255.1.2),FAIL,"Failures: [{'afi': 'evpn', 'vrfs': {'default': {'10.255.1.2': {'peerState': 'Active', 'inMsgQueue': 0, 'outMsgQueue': 0}}}}]"
3,s1-p01,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: s1-pe03 (IP: 10.255.1.3),PASS,
4,s1-p01,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: s1-pe04 (IP: 10.255.1.4),PASS,
5,s1-p01,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: s2-p02 (IP: 10.255.0.4),FAIL,"Failures: [{'afi': 'evpn', 'vrfs': {'default': {'10.255.0.4': {'peerState': 'Active', 'inMsgQueue': 0, 'outMsgQueue': 0}}}}]"
6,s1-p01,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: s2-pe01 (IP: 10.255.1.5),PASS,
7,s1-p01,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet1 - Remote: s1-pe01 Ethernet1,FAIL,"Port(s) not configured:
   Ethernet1"
8,s1-p01,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet2 - Remote: s1-pe02 Ethernet1,FAIL,"Port(s) not configured:
   Ethernet2"
9,s1-p01,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet3 - Remote: s1-pe03 Ethernet1,PASS,
10,s1-p01,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet4 - Remote: s1-pe04 Ethernet1,PASS,
